player_id,player,team_id,season,gw_orig,exp_app_points,cs_points,concede_points,neg_points,pred_total_points
0197105b,Cole Palmer,0687bf1c,2024-2025,26,1.7990780667468904,0,0.0,-0.0,2
0da3da65,,0687bf1c,2024-2025,26,1.000008529844394,0,0.0,,0
262990b4,,0687bf1c,2024-2025,26,1.000008529844394,0,0.0,,0
3ff87338,,0687bf1c,2024-2025,26,1.000008529844394,0,,,0
415ec316,,0687bf1c,2024-2025,26,1.000008529844394,0,0.0,,0
4b6dffe4,,0687bf1c,2024-2025,26,1.000008529844394,0,0.0,,0
6284552f,Filip Jørgensen,0687bf1c,2024-2025,26,1.9862849151896966,0,-1.0,-0.0,1
70d51223,Moisés Caicedo,0687bf1c,2024-2025,26,1.8878635430740789,0,0.0,-1.0,1
72786a03,Reece James,0687bf1c,2024-2025,26,1.8001022205957478,0,-1.0,-0.0,1
7ac6612d,Pedro Neto,0687bf1c,2024-2025,26,1.832437957119267,0,0.0,-0.0,2
88309da9,,0687bf1c,2024-2025,26,1.000008529844394,0,,,0
89e200ae,Malo Gusto,0687bf1c,2024-2025,26,1.8285102884128275,0,-1.0,-0.0,1
9ba5bdc0,,0687bf1c,2024-2025,26,1.000008529844394,0,,,0
a2467af0,Marc Cucurella,0687bf1c,2024-2025,26,1.9092263945432295,0,-1.0,-0.0,1
a4b25644,,0687bf1c,2024-2025,26,1.000008529844394,0,0.0,,0
b0dfbee8,Jadon Sancho,0687bf1c,2024-2025,26,1.6723358737026879,0,0.0,-0.0,2
b2efd9b3,Enzo Fernández,0687bf1c,2024-2025,26,1.8483859553344164,0,0.0,-1.0,1
b3419fff,Levi Colwill,0687bf1c,2024-2025,26,1.9008923165068319,0,-1.0,-0.0,1
c0dda81a,Tosin Adarabioyo,0687bf1c,2024-2025,26,1.6718761183993034,0,-1.0,-0.0,1
c15af534,,0687bf1c,2024-2025,26,1.000008529844394,0,0.0,,0
c2b3fac1,,0687bf1c,2024-2025,26,1.000008529844394,0,,,0
d619305b,,0687bf1c,2024-2025,26,1.000008529844394,0,0.0,,0
d76d3616,Christopher Nkunku,0687bf1c,2024-2025,26,1.6589384149371944,0,0.0,-1.0,1
